number,value,state,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_min_child_weight,params_min_split_gain,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,params_subsample_freq,user_attrs_fold_log_losses,user_attrs_mean_validation_log_loss
12,0.6576887239222604,COMPLETE,0.5879744825619122,0.05559558041883278,5,696,1.8063026292864757,0.8175355076386521,1851,24,0.0015244150949041974,0.4139311598949438,0.5134764901437924,6,"[0.6931471805599453, 0.6747896241579172, 0.6934013536467432, 0.6869188311647062, 0.6922783879187512, 0.6591281072076809, 0.6901067563824196, 0.6931413612430809, 0.6756259151855836, 0.6937756520904607, 0.6930919322831375, 0.5809671312901269, 0.5243428686784287, 0.6935139601115373, 0.6204912918846411, 0.6708424873259127, 0.5451454655473548]",0.6576887239222604
13,0.6574311006446939,COMPLETE,0.5735685535574068,0.02327135878903347,3,40,0.2929872053984401,0.37458564345214007,1305,26,0.38880511249225963,0.04074751006275296,0.5719890595913268,3,"[0.6832368421647277, 0.6700257222924464, 0.6934208406072002, 0.688907210993444, 0.6909787210607751, 0.6580170826821573, 0.6905842681319291, 0.6929904453900058, 0.6767944101970926, 0.6933576074449986, 0.693086637530903, 0.581647767238984, 0.5262865894950182, 0.6932798547432764, 0.6299857005921023, 0.6681763153951674, 0.5455526949995654]",0.6574311006446939
14,0.6572454192311916,COMPLETE,0.9701063299842663,0.0451963857955699,3,30,0.31636999129648535,0.2678208417826189,1453,11,1.5521961798668555,0.00021099074957059901,0.9214551631476897,1,"[0.683809379218996, 0.6700871574324215, 0.6936639675130847, 0.6870627760017471, 0.6900480499334329, 0.6591419137041613, 0.6892081066434651, 0.6932705742368704, 0.6788124123418667, 0.693688048246073, 0.6929079991644217, 0.5811719031496706, 0.5283698901165842, 0.6934519490643501, 0.6288958167313204, 0.6667944594716111, 0.5427877239601817]",0.6572454192311916
15,0.6577315762952973,COMPLETE,0.9352377047349261,0.0409749867862737,4,73,0.0174056035213649,0.050023468304082025,1268,9,0.46359771927258414,0.003318251925998751,0.9389249286958723,3,"[0.6814491101039543, 0.6703818001512934, 0.693612972165634, 0.686407494538724, 0.690447114078188, 0.6588905842779778, 0.6897633306126247, 0.6931045960320411, 0.6777479707270162, 0.6936731863227609, 0.6929352165550733, 0.5869850818427199, 0.5279968915349996, 0.693464033305535, 0.629374920332789, 0.667717696737836, 0.5474847977008889]",0.6577315762952973
16,0.6577446584805208,COMPLETE,0.8930083413428035,0.057044306596434384,3,90,5.994397961330488,0.727269512646282,1996,10,0.004602391983739517,0.0008912945600229374,0.9404495651624439,2,"[0.6841348953883862, 0.6706942954857888, 0.6938747306952497, 0.687654060865881, 0.6910324298724322, 0.6586913639705944, 0.689183533556137, 0.6933028240526993, 0.6791971475672653, 0.6938272112659751, 0.6929022535521694, 0.5843613289478716, 0.5302635758698427, 0.6935373821284029, 0.6284732925386002, 0.666197433385195, 0.5443314350263635]",0.6577446584805208
17,0.6579541217716189,COMPLETE,0.8517292499622551,0.019312259083721146,4,199,9.333643048967753,0.16601241398326122,1161,16,0.7047122070610022,1.051191735655827,0.7922250923090931,6,"[0.6865192965151835, 0.6730887143261581, 0.6933843059145082, 0.6879130717802439, 0.690999398043587, 0.6556784001327649, 0.6908564789836231, 0.6931355123311926, 0.6779474321828782, 0.6933881238430529, 0.6926487429184226, 0.5857540108317079, 0.5292944755066932, 0.6933096035177301, 0.62756314729683, 0.6687247177907534, 0.545014638202191]",0.6579541217716189
18,0.6578761627140327,COMPLETE,0.9943483810922868,0.047932661644928695,4,34,7.186212549718542,0.39834734728007043,1003,14,1.5627868176780668,0.04995748374565416,0.8458742749047768,2,"[0.6823348793187308, 0.6757254674650671, 0.6935424094835178, 0.689931422635195, 0.6901831572040088, 0.6544532818730775, 0.6905431162601193, 0.6932771797232429, 0.6775577215741385, 0.6938861646172735, 0.6931800611434638, 0.5872818639503403, 0.5274614233100262, 0.6934945113747506, 0.6273366161915841, 0.6683689470751095, 0.5453365429389105]",0.6578761627140327
19,0.6574564841031988,COMPLETE,0.8801510456175449,0.021941527385416142,4,501,0.7492269590313309,0.022871993256536577,2021,14,0.029426813212116917,0.0023780163689571484,0.9100603036996948,1,"[0.6820847980363937, 0.668595607214722, 0.6933169420233382, 0.6866914752693878, 0.690642455242665, 0.6590109280489065, 0.6895617738030806, 0.6931183745344858, 0.6788658523963104, 0.6934212169000137, 0.6929289225875659, 0.583753888588703, 0.5294481670281417, 0.6933401458426556, 0.6282854505529893, 0.6690257403849942, 0.5446684913000258]",0.6574564841031988
20,0.657598572336487,COMPLETE,0.6277621605943501,0.014500464040143742,3,20,0.2124532761556824,0.11065343221157614,1011,7,1.273375043516221,0.0010322840505143406,0.9133830034708005,1,"[0.6840253366882361, 0.6710586475206048, 0.6932242638164262, 0.687182868515066, 0.6916834289724328, 0.6595733527645633, 0.6891511903458205, 0.6931328281653292, 0.6783314949056068, 0.693274515659602, 0.6928518795702606, 0.5831966054146644, 0.5280523958351271, 0.693240441897763, 0.6281222000246388, 0.668414365573934, 0.5446599140502043]",0.657598572336487
21,0.6567364115437311,COMPLETE,0.6718163940589609,0.03427195314024607,3,373,0.12716413037716,0.7739450499593591,2086,28,0.0026050251655243325,27.07632563810457,0.7528636806894177,6,"[0.6833357486674769, 0.6695529030521699, 0.6931087129533, 0.6865458945471572, 0.6903691800458396, 0.6555801786819788, 0.6884306695594012, 0.6930865627239832, 0.678112176823769, 0.6935159091968724, 0.6930197139854642, 0.5830713312121976, 0.5264141384994149, 0.6933496649937263, 0.6249113222820224, 0.6684931429208846, 0.5436217460977706]",0.6567364115437311
